date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:09	38891/38891	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%2019%2021:17:23%20+0000	https://www.fige.psu.edu/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/index.html	(from )
17:25:09	6892/6892	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Sep%2019%2021:25:09%20+0000	https://www.fige.psu.edu/robots.txt		(from )
17:25:09	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2014%20Sep%202019%2021:25:09%20GMT	https://www.fige.psu.edu/xmlrpc.php	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/xmlrpc.php	(from https://www.fige.psu.edu/)
17:25:09	25242/25242	---MCZ	200	added ('OK')	text/css	etag:W/%225cc55e26-629a%22	https://www.fige.psu.edu/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-includes/css/dist/block-library/style.min3c21.css	(from https://www.fige.psu.edu/)
17:25:09	369/369	---MCZ	200	added ('OK')	text/css	etag:W/%225b3ceb6b-171%22	https://www.fige.psu.edu/wp-content/mu-plugins/campus-files/plugins-mods/ultimate-branding/assets/admin-bar-public.css?ver=20150323	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/mu-plugins/campus-files/plugins-mods/ultimate-branding/assets/admin-bar-public8ede.css	(from https://www.fige.psu.edu/)
17:25:10	256/256	---MCZ	200	added ('OK')	text/css	etag:W/%225b3ceb6b-100%22	https://www.fige.psu.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/dwd-map-extended/public/css/dwd-map-extended-public.css?ver=1.5.2	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/dwd-map-extended/public/css/dwd-map-extended-public6bc5.css	(from https://www.fige.psu.edu/)
17:25:10	2091/2091	---MCZ	200	added ('OK')	text/css	etag:W/%22592c67a5-82b%22	https://www.fige.psu.edu/wp-content/plugins/social-media-widget/social_widget.css?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/plugins/social-media-widget/social_widget3c21.css	(from https://www.fige.psu.edu/)
17:25:10	3892/3892	---MCZ	200	added ('OK')	text/css	etag:W/%22592c6cf8-f34%22	https://www.fige.psu.edu/wp-content/themes/Divi-PSU/style.css?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/Divi-PSU/style3c21.css	(from https://www.fige.psu.edu/)
17:25:10	3950/3950	---MCZ	200	added ('OK')	text/css	etag:W/%225b3cd459-f6e%22	https://www.fige.psu.edu/wp-content/themes/divi/epanel/shortcodes/css/shortcodes_responsive.css?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/epanel/shortcodes/css/shortcodes_responsive3c21.css	(from https://www.fige.psu.edu/)
17:25:11	8047/8047	---MCZ	200	added ('OK')	text/css	etag:W/%225b3cd459-1f6f%22	https://www.fige.psu.edu/wp-content/themes/divi/includes/builder/styles/magnific_popup.css?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/includes/builder/styles/magnific_popup3c21.css	(from https://www.fige.psu.edu/)
17:25:11	46358/46358	---MCZ	200	added ('OK')	text/css	etag:W/%225cc55e26-b516%22	https://www.fige.psu.edu/wp-includes/css/dashicons.min.css?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-includes/css/dashicons.min3c21.css	(from https://www.fige.psu.edu/)
17:25:11	44104/44104	---MCZ	200	added ('OK')	text/css	etag:W/%225b3ceb6b-ac48%22	https://www.fige.psu.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/assets/css/elicus-blog.css?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/assets/css/elicus-blog3c21.css	(from https://www.fige.psu.edu/)
17:25:11	1733/1733	---MC-	200	added ('OK')	application/rss+xml	etag:%2280f44ed2fb4faa8b5c94435d9ea79f99%22	https://www.fige.psu.edu/feed/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/feed/index.html	(from https://www.fige.psu.edu/)
17:25:11	1681/1681	---MC-	200	added ('OK')	application/rss+xml	etag:%220be50e47ab9b2f71568808b4e0843117%22	https://www.fige.psu.edu/comments/feed/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/comments/feed/index.html	(from https://www.fige.psu.edu/)
17:25:11	97183/97183	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225cc55e26-17b9f%22	https://www.fige.psu.edu/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.fige.psu.edu/)
17:25:12	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b3ceb68-2748%22	https://www.fige.psu.edu/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.fige.psu.edu/)
